,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,buluang,100,PH,1663048100,80,13.3068,123.3425,28.9,3.85
282,qasigiannguit,100,GL,1663048101,92,68.8193,-51.1922,8.14,2.96
283,guane,93,CU,1663048101,82,22.2025,-84.0875,25.77,1.6
284,yeppoon,0,AU,1663048102,58,-23.1333,150.7333,27.88,4.15
285,sambava,12,MG,1663047587,69,-14.2667,50.1667,23.66,5.03
286,cidreira,33,BR,1663047592,94,-30.1811,-50.2056,14.4,4.2
287,chiredzi,67,ZW,1663048103,71,-21.05,31.6667,20.06,4.95
288,katsuura,95,JP,1663047419,82,35.1333,140.3,27.22,5.11
289,sanchor,86,IN,1663048045,47,24.7553,71.7722,35.24,4.2
290,mabaruma,45,GY,1663048103,98,8.2,-59.7833,22.53,1.03
291,tshikapa,60,CD,1663047537,72,-6.4167,20.8,25.06,0.52
292,bandarbeyla,97,SO,1663048104,55,9.4942,50.8122,29.46,11.83
293,araouane,94,ML,1663047586,24,18.9048,-3.5265,33.7,4.22
294,atambua,55,ID,1663047996,46,-9.1061,124.8925,30.1,0.56
295,taoudenni,8,ML,1663047616,12,22.6783,-3.9836,33.08,3.02
296,akyab,100,MM,1663047836,89,20.15,92.9,25.62,1.89
297,thinadhoo,3,MV,1663048106,68,0.5333,72.9333,27.87,2.15
298,perth,75,AU,1663047282,85,-31.9333,115.8333,17.1,7.72
299,kaz,96,RU,1663048107,63,52.9113,87.3105,12.1,1.41
300,ovruch,97,UA,1663047987,93,51.3246,28.8035,10.38,3.25
301,ryotsu,100,JP,1663047886,79,38.0833,138.4333,26.04,3.86
302,inderka,81,RU,1663048110,53,53.2485,46.2582,11.84,5.54
303,camargo,60,MX,1663047921,49,27.6667,-105.1667,23.28,2.9
304,tura,100,IN,1663047600,98,25.5198,90.2201,22.71,0.9
305,hofn,7,IS,1663047526,62,64.2539,-15.2082,10.22,4.79
306,masloc,0,RO,1663048111,66,45.9981,21.4497,11.76,0.92
307,chicama,86,PE,1663047613,87,-7.8447,-79.1469,14.3,3.26
308,igarka,100,RU,1663048113,97,67.4667,86.5833,2.82,4.98
309,wakkanai,40,JP,1663047429,73,45.4094,141.6739,23.99,7.2
310,sao filipe,54,CV,1663048113,83,14.8961,-24.4956,25.74,5.37
311,cayenne,36,GF,1663048034,94,4.9333,-52.3333,25.02,1.54
312,payakumbuh,100,ID,1663047818,97,-0.2202,100.6308,21.53,0.79
313,bougouni,100,ML,1663048114,98,11.417,-7.479,21.07,1.26
314,banda aceh,87,ID,1663048115,63,5.5577,95.3222,30.19,6.58
315,aurillac,0,FR,1663048116,83,44.9167,2.45,19.49,3.6
316,kaspiyskiy,71,RU,1663048117,56,45.3929,47.3707,22.55,11.12
317,dingle,81,PH,1663047527,73,10.9995,122.6711,30.41,4.64
318,komsomolskiy,0,UZ,1663047558,63,40.4272,71.7189,18.4,1.03
319,nelson bay,42,AU,1663048119,80,-32.7167,152.15,15.62,4.47
320,ketchikan,0,US,1663048120,87,55.3422,-131.6461,10.26,0.0
321,sao raimundo nonato,0,BR,1663048120,52,-9.0153,-42.6994,23.39,4.39
322,sines,19,PT,1663048120,94,37.9562,-8.8698,19.05,8.53
323,batagay,99,RU,1663048121,63,67.6333,134.6333,8.51,2.56
324,townsville,1,AU,1663047900,62,-19.25,146.8,23.62,5.38
325,rundu,0,NA,1663048122,17,-17.9333,19.7667,18.68,5.22
326,algeciras,75,ES,1663048123,73,36.1333,-5.4505,23.82,4.12
327,youghal,99,IE,1663048123,100,51.95,-7.8506,12.56,4.78
328,vanimo,51,PG,1663048123,69,-2.6741,141.3028,29.17,3.5
329,hauterive,92,FR,1663048124,68,46.0901,3.4459,20.42,1.46
330,rawson,83,AR,1663047542,93,-43.3002,-65.1023,2.16,0.0
331,kuah,40,MY,1663047921,94,6.3265,99.8432,24.99,1.54
332,teguldet,25,RU,1663048125,47,57.3064,88.1667,10.49,2.1
333,lastoursville,93,GA,1663048125,85,-0.8143,12.7287,22.92,1.2
334,moussoro,76,TD,1663048020,70,13.6408,16.4901,26.9,6.33
335,vostok,97,RU,1663048126,89,46.4856,135.8833,10.8,4.18
336,coahuayana,100,MX,1663048126,95,18.7333,-103.6833,24.44,1.1
337,boden,100,SE,1663048127,89,65.8252,21.6886,12.0,1.79
338,port said,5,EG,1663048127,83,31.2565,32.2841,25.46,4.25
339,darhan,100,MN,1663048126,41,49.4867,105.9228,17.6,7.68
340,zapolyarnyy,96,RU,1663048128,88,69.4154,30.8136,4.6,2.97
341,san andres,40,CO,1663047843,83,12.5847,-81.7006,28.01,3.09
342,tuatapere,100,NZ,1663047587,77,-46.1333,167.6833,3.81,5.89
343,jijiga,61,ET,1663047830,62,9.35,42.8,20.75,8.51
344,mongo,98,TD,1663048020,81,12.1844,18.693,24.78,1.9
345,azul,0,AR,1663048130,86,-36.777,-59.8585,6.49,1.79
346,penzance,100,GB,1663048130,84,50.1186,-5.5371,19.38,7.93
347,olinda,40,BR,1663047867,78,-8.0089,-34.8553,23.85,3.6
348,shingu,74,JP,1663048122,80,33.7333,135.9833,27.93,4.91
349,concepcion del oro,84,MX,1663048132,57,24.6333,-101.4167,16.99,3.06
350,coihaique,0,CL,1663048133,93,-45.5752,-72.0662,5.34,0.0
351,ankang,25,CN,1663048134,45,32.68,109.0172,29.97,4.63
352,shache,100,CN,1663047841,13,38.4167,77.2406,30.21,6.44
353,mecca,47,SA,1663047774,40,21.4267,39.8261,34.11,2.63
354,huaral,91,PE,1663048135,81,-11.495,-77.2078,15.17,1.68
355,pisco,100,PE,1663048034,82,-13.7,-76.2167,15.57,1.54
356,poltavka,23,RU,1663048135,41,54.3663,71.7632,13.45,0.48
357,vestmannaeyjar,90,IS,1663047564,83,63.4427,-20.2734,10.07,6.74
358,saint-augustin,2,CA,1663047615,81,51.226,-58.6502,12.36,2.47
359,port macquarie,19,AU,1663048136,69,-31.4333,152.9167,17.72,6.82
360,kodinsk,100,RU,1663048136,96,58.6881,99.1844,5.39,3.67
361,matay,0,EG,1663047968,59,28.419,30.7792,27.08,4.48
362,bathsheba,40,BB,1663047547,83,13.2167,-59.5167,28.34,5.14
363,zeya,82,RU,1663047609,48,53.75,127.2667,16.38,4.54
364,vitim,92,RU,1663048138,87,59.4511,112.5578,9.41,8.06
365,poddorye,92,RU,1663048138,76,57.4695,31.1156,10.68,2.08
